symbol,sector,companyname,address,previousclose,dividend_yield,fifty_two_week_high,fifty_two_week_low,two_hundered_day_average,market_cap,environment_score,social_score,governance_score,profit_margins,book_value,trailing_eps,shares_outstanding,total_cash,debt_to_equity,return_on_equity,earnings_growth,ebitda,current_liabilities,revenue
CEVA,Technology,"CEVA, Inc.","15245 Shady Grove Road, Rockville, MD",29.72,,42.25,23.71,30.31055,712548864.0,,,,-0.17216998,11.151,-1.02,23416000,139479008.0,3.741,-0.086569995,-0.526,5708000.0,33278000.0,134648000.0
SNPO,Technology,Snap One Holdings Corp.,"1800 Continental Boulevard, Charlotte, NC",9.0,,15.08,7.02,10.11765,723376768.0,,,,-0.00767,10.09,-0.12,76181504,21117000.0,75.825,-0.011519999,,86998000.0,167876000.0,1123811000.0
NX,Industrials,Quanex Building Products Corporation,"1800 West Loop South, Houston, TX",20.7,0.0155,27.04,18.0,22.9762,715629248.0,,,,0.06495,14.424,2.38,33238700,43055000.0,42.174,0.17553,-0.829,142552000.0,139843000.0,1221502000.0
ANIP,Healthcare,"ANI Pharmaceuticals, Inc.","210 Main Street West, Baudette, MN",39.53,,45.99,22.31,37.33175,707603904.0,,,,-0.15139,19.182,-3.05,17493200,48228000.0,85.244,-0.13738,,33919000.0,99439000.0,316385000.0
ACHR,Industrials,Archer Aviation Inc.,"190 West Tasman Drive, San Jose, CA",2.75,,5.165,1.62,2.95635,735752128.0,,,,0.0,2.041,-1.45,184707008,531200000.0,4.5,-0.53229,,-332200000.0,53300000.0,0.0
REVG,Industrials,"REV Group, Inc.","245 South Executive Drive, Brookfield, WI",11.77,0.017,16.384,9.5,12.27685,712873856.0,,,,0.00101,7.405,0.03,59455700,23000000.0,63.172,0.0051700003,,72000000.0,527400000.0,2331600000.0
SCVL,Consumer Cyclical,"Shoe Carnival, Inc.","7500 East Columbia Street, Evansville, IN",25.27,0.015800001,33.58,19.43,24.2609,701555712.0,,,,0.0872,19.347,3.93,27167700,62973000.0,65.306,0.22506,0.077,169640000.0,157285000.0,1262235000.0
ACMR,Technology,"ACM Research, Inc.","42307 Osgood Road, Fremont, CA",11.75,,22.86,5.46,12.2865,698526272.0,,,,0.10098,11.308,0.58,54681300,338652000.0,9.789,0.062280003,-0.22,64401000.0,396214000.0,388832000.0
SIBN,Healthcare,"SI-BONE, Inc.","471 El Camino Real, Santa Clara, CA",19.46,,22.92,11.14,15.95985,688166784.0,,,,-0.57566,2.83,-1.75,34985600,97290000.0,40.111,-0.52643,,-56157000.0,21178000.0,106409000.0
MCRB,Healthcare,"Seres Therapeutics, Inc.","200 Sidney Street, Cambridge, MA",5.35,,9.49,2.5,5.600775,723871872.0,,,,0.0,0.086,-2.35,126076000,181340992.0,1507.836,-3.51616,,-239860992.0,85596000.0,7128000.0
AVXL,Healthcare,Anavex Life Sciences Corp.,"630 5th Avenue, New York, NY",8.32,,15.24,7.13,10.35305,668735040.0,,,,0.0,0.691,-0.455,78032096,143621856.0,,-0.35573003,,,10213561.0,0.0
BJRI,Consumer Cyclical,"BJ's Restaurants, Inc.","7755 Center Avenue, Huntington Beach, CA",29.4,,36.14,20.15,28.01905,685652544.0,,,,0.00317,14.771,0.18,23529600,24873000.0,154.179,0.012,,67787000.0,196858000.0,1283926000.0
ACDC,Energy,ProFrac Holding Corp.,"333 Shops Boulevard, Willow Park, TX",12.25,,27.0,10.15,19.8501,693078144.0,,,,0.06806,-28.717,1.66,54702300,35100000.0,77.175,0.4573,,728499968.0,668100000.0,2425600000.0
CGBD,Financial Services,"Carlyle Secured Lending, Inc.","One Vanderbilt Avenue, New York, NY",13.41,0.1312,15.89,11.23,13.82235,692179264.0,,,,0.41319,16.988,1.49,50820800,16094000.0,117.415,0.09178001,-0.609,,47082000.0,207256000.0
AMBC,Financial Services,"Ambac Financial Group, Inc.","One World Trade Center, New York, NY",15.01,,17.75,7.24,14.5661,701044288.0,,,,1.74582,27.838,11.42,45287100,637000000.0,366.566,0.42851,,534000000.0,2734000000.0,299000000.0
RSI,Consumer Cyclical,"Rush Street Interactive, Inc.","900 North Michigan Avenue, Chicago, IL",3.11,,8.11,2.89,4.30625,689804224.0,,,,-0.06523,0.861,-0.58,65114400,179723008.0,1.159,-0.53886,,-111214000.0,143945000.0,592212000.0
UVSP,Financial Services,Univest Financial Corporation,"14 North Main Street, Souderton, PA",23.24,0.0361,29.06,23.03,26.13905,695392064.0,,,,0.27509,26.527,2.64,29292000,152947008.0,,0.10078,0.356,,6161722000.0,283984000.0
DLX,Communication Services,Deluxe Corporation,"801 South Marquette Avenue, Minneapolis, MN",15.66,0.0766,30.63,14.36,19.1921,709097600.0,,,,0.02922,13.976,1.5,43376800,41619000.0,287.032,0.11118,0.376,327632000.0,752345000.0,2238010000.0
NKLA,Industrials,Nikola Corporation,"4141 East Broadway Road, Phoenix, AZ",1.4,,10.77,1.15,3.65595,674435904.0,,,,0.0,1.026,-1.68,557385024,236939008.0,72.741,-1.28558,,-725377984.0,383590000.0,50825000.0
CHS,Consumer Cyclical,"Chico's FAS, Inc.","11215 Metro Parkway, Fort Myers, FL",5.4,,7.31,3.8,5.4995,687774976.0,,,,0.050890002,2.685,0.9,125050000,178054000.0,164.349,0.39128,-0.257,187468992.0,451162000.0,2142020000.0
OSPN,Technology,OneSpan Inc.,"121 West Wacker Drive, Chicago, IL",16.84,,19.25,8.15,12.37735,726627968.0,,,,-0.065910004,5.118,-0.36,40001300,98829000.0,5.263,-0.06823,,-6739000.0,110814000.0,219006000.0
STAR,Real Estate,iStar Inc.,"1114 Avenue of the Americas, New York, NY",7.48,0.0668,18.340725,6.437936,9.042299,662560192.0,,,,2.11351,16.241,-5.59,86836200,1442269056.0,119.151,-0.15845,,9194000.0,111260000.0,199331000.0
ETD,Consumer Cyclical,Ethan Allen Interiors Inc.,"25 Lake Avenue Extension, Danbury, CT",26.85,0.0478,31.78,19.6,25.5537,696050560.0,,,,0.13524,17.243,4.47,25347800,140422000.0,27.152,0.2847,0.048,163536992.0,215643000.0,817762000.0
CNOB,Financial Services,"ConnectOne Bancorp, Inc.","301 Sylvan Avenue, Englewood Cliffs, NJ",17.56,0.0352,32.19,16.02,24.3566,692191488.0,,,,0.42071998,27.27,3.01,39151100,325112000.0,,0.108739994,-0.011,,7359580000.0,297612000.0
EHAB,Healthcare,"Enhabit, Inc.","6688 N. Central Expressway, Dallas, TX",13.18,,25.25,11.65,14.946975,690191936.0,,,,0.0577,17.028,1.2,49618400,22900000.0,71.183,0.05471,-0.746,141200000.0,134800000.0,1083100000.0
CTBI,Financial Services,"Community Trust Bancorp, Inc.","346 North Mayo Trail, Pikeville, KY",37.67,0.0467,48.05,37.31,43.31465,682200576.0,,,,0.37313998,35.051,4.58,17976300,56331000.0,,0.123380005,0.157,,4646362000.0,219260000.0
KRUS,Consumer Cyclical,"Kura Sushi USA, Inc.","17461 Derian Avenue, Irvine, CA",65.59,,96.603,30.95,66.70805,645602624.0,,,,-0.01047,9.387,-0.17,8792130,26934000.0,104.365,-0.017339999,,4369000.0,25269000.0,141089000.0
