symbol,sector,companyname,address,previousclose,dividend_yield,fifty_two_week_high,fifty_two_week_low,two_hundered_day_average,market_cap,environment_score,social_score,governance_score,profit_margins,book_value,trailing_eps,shares_outstanding,total_cash,debt_to_equity,return_on_equity,earnings_growth,ebitda,current_liabilities,revenue
DVA,Healthcare,DaVita Inc.,"2000 16th Street, Denver, CO",79.38,,124.81,65.28,81.87535,7332343808.0,0.07,14.08,8.42,0.048270002,7.879,5.78,90400000,321779008.0,531.396,0.3343,-0.589,2045144064.0,2619747000.0,11609894000.0
SAIA,Industrials,"Saia, Inc.","11465 Johns Creek Parkway, Johns Creek, GA",271.11,,306.4,168.03,229.16785,7218173440.0,,,,0.12800999,59.837,13.53,26529600,187390000.0,9.783,0.25533,-0.039,627740992.0,274085000.0,2792057000.0
AAP,Consumer Cyclical,"Advance Auto Parts, Inc.","4200 Six Forks Road, Raleigh, NC",118.61,0.051,231.43,109.05,162.48515,7321007104.0,0.11,8.29,3.11,0.04499,45.495,8.15,59273800,269281984.0,151.819,0.17286,0.383,1037604992.0,5370389000.0,11154722000.0
CELH,Consumer Defensive,"Celsius Holdings, Inc.","2424 North Federal Highway, Boca Raton, FL",91.44,,122.24,38.31,93.5634,7129139200.0,,,,-0.28654,0.525,-2.65,76706896,614158976.0,0.141,-0.3463,,-153384000.0,161295000.0,653604000.0
LEVI,Consumer Cyclical,Levi Strauss & Co.,"Levi's Plaza, San Francisco, CA",17.99,0.0269,20.5,13.57,16.848,7322352640.0,,,,0.092259996,4.835,1.41,97288800,500200000.0,109.839,0.31888,0.012,871100032.0,1981600000.0,6168600000.0
NOV,Energy,NOV Inc.,"10353 Richmond Avenue, Houston, TX",18.14,0.011,24.83,13.98,19.61005,7271302144.0,12.54,12.0,8.5,0.02142,12.972,0.39,392831008,1069000000.0,46.085,0.0304,,716000000.0,2437000000.0,7237000000.0
WHR,Consumer Cyclical,Whirlpool Corporation,"2000 North M-63, Benton Harbor, MI",128.7,0.0544,199.07,124.1,148.52155,7293920256.0,4.76,7.08,3.96,-0.077010006,43.259,-26.82,54510500,1958000000.0,333.879,-0.40191,,1788000000.0,5931000000.0,19724000000.0
ARW,Technology,"Arrow Electronics, Inc.","9201 East Dry Creek Road, Centennial, CO",122.5,,134.56,89.38,110.26355,7418764288.0,2.98,2.96,3.95,0.03844,93.611,22.12,58284300,176915008.0,72.52,0.26208,0.076,2260567040.0,12389604000.0,37124422000.0
UGI,Utilities,UGI Corporation,"460 North Gulph Road, King of Prussia, PA",33.96,0.0424,44.54,31.19,37.8963,7284200448.0,15.38,11.97,6.65,0.021189999,23.922,0.89,209556992,317000000.0,148.728,0.040960003,,1284999936.0,2444000000.0,10106000000.0
EGP,Real Estate,"EastGroup Properties, Inc.","400 West Parkway Place, Ridgeland, MS",162.49,0.0308,217.46,137.47,158.72536,7200413696.0,,,,0.38228,44.918,4.35,43554400,38408000.0,97.22,0.10569,-0.495,314687008.0,140488000.0,487025000.0
BERY,Consumer Cyclical,"Berry Global Group, Inc.","101 Oakley Street, Evansville, IN",57.92,0.0174,66.21,44.52,55.98735,7271440896.0,,,,0.05371,26.779,5.75,121400000,717000000.0,306.996,0.22920999,-0.023,2083000064.0,2844000000.0,14495000000.0
ITT,Industrials,ITT Inc.,"100 Washington Boulevard, Stamford, CT",84.53,0.0137,95.18,63.77,78.67735,7146227200.0,,,,0.12284,27.184,4.4,82806800,561200000.0,23.771,0.16519,0.153,563600000.0,1185500000.0,2987700000.0
INSP,Healthcare,"Inspire Medical Systems, Inc.","5500 Wayzata Blvd., Golden Valley, MN",238.0,,282.31,142.74,219.84274,6818552832.0,,,,-0.110039994,17.099,-1.59,29130400,451412992.0,1.789,-0.1238,,-45734000.0,61186000.0,407856000.0
AR,Energy,Antero Resources Corporation,"1615 Wynkoop Street, Denver, CO",22.56,,48.8,20.65,32.7365,6817299456.0,,,,0.21783,22.715,5.78,295248992,,65.981,0.30969998,-0.127,3434433024.0,1774909000.0,8716669000.0
JLL,Real Estate,Jones Lang LaSalle Incorporated,"200 East Randolph Drive, Chicago, IL",141.22,,238.9,132.91,167.0613,7045804544.0,1.47,2.14,3.16,0.03137,126.735,13.27,47601900,519300000.0,51.253,0.12623,-0.556,1315500032.0,5912100000.0,20862100000.0
HESM,Energy,Hess Midstream LP,"1501 McKinney Street, Houston, TX",28.8,0.0777,34.99,24.33,28.74385,6941259264.0,,,,0.06579,5.57,2.01,44002800,3100000.0,545.482,0.96809995,0.001,972499968.0,159500000.0,1275200000.0
KNSL,Financial Services,"Kinsale Capital Group, Inc.","2035 Maywill Street, Richmond, VA",296.28,0.0019,337.115,196.0,273.1845,7021258752.0,,,,0.19423,32.284,6.8,23097000,197611008.0,26.259,0.22026,0.385,202568992.0,1805764000.0,819200000.0
CACI,Technology,CACI International Inc,"12021 Sunset Hills Road, Reston, VA",294.85,,319.33,245.32,288.24606,6964979712.0,,,,0.05625,138.256,15.6,23508100,116043000.0,57.295,0.119619995,-0.039,649310976.0,1027361000.0,6202917000.0
EDR,Communication Services,"Endeavor Group Holdings, Inc.","9601 Wilshire Boulevard, Beverly Hills, CA",23.15,,29.86,17.42,21.99425,6975260672.0,,,,0.02451,6.474,0.45,291486016,767827968.0,168.205,0.11411,,900572992.0,2414540000.0,5268137000.0
GNRC,Industrials,Generac Holdings Inc.,"S45 W29290 Highway 59, Waukesha, WI",111.97,,328.6,86.29,157.0464,6854951936.0,,,,0.087519996,36.755,5.55,61887500,132723000.0,64.762,0.17617,-0.593,724161024.0,992044000.0,4564737000.0
WBS,Financial Services,Webster Financial Corporation,"200 Elm Street, Stamford, CT",39.01,0.040700004,56.46,36.49,47.86415,6969179648.0,,,,0.29393,44.666,3.72,174658000,654342976.0,,0.1121,0.152,,61576149000.0,2191950000.0
PLNT,Consumer Cyclical,"Planet Fitness, Inc.","4 Liberty Lane West, Hampton, NH",76.71,,88.31,54.15,73.4734,6947232256.0,,,,0.113120005,-2.385,1.19,85200096,409840000.0,,,4.842,361292992.0,244530000.0,878697000.0
VMI,Industrials,"Valmont Industries, Inc.","15000 Valmont Plaza, Omaha, NE",316.83,0.0076,353.36,213.27,295.6758,6816628224.0,,,,0.057729997,74.044,11.63,21350000,185406000.0,63.989,0.16643,0.497,540502976.0,803993000.0,4345250000.0
KRTX,Healthcare,"Karuna Therapeutics, Inc.","99 High Street, Boston, MA",180.2,,278.253,92.26,197.8543,6810119680.0,,,,0.0,32.669,-8.93,37374100,1124044032.0,0.473,-0.33942002,,-287984000.0,33946000.0,10637000.0
GME,Consumer Cyclical,GameStop Corp.,"625 Westport Parkway, Grapevine, TX",22.5,,47.99,15.41,26.153288,7013618688.0,,,,-0.05282,4.345,-1.03,304675008,1390599936.0,46.631,-0.2141,,-246300000.0,1339100000.0,5927200000.0
NATI,Technology,National Instruments Corporation,"11500 North MoPac Expressway, Austin, TX",51.75,0.0216,55.04,29.81,41.69675,6891705344.0,,,,0.08428001,8.825,1.06,131496000,142098000.0,50.779,0.11736,-0.003,290960992.0,522875000.0,1656975000.0
VOYA,Financial Services,"Voya Financial, Inc.","230 Park Avenue, New York, NY",70.21,0.0114,78.11,56.2,64.71565,6952521728.0,2.18,11.5,11.23,0.08612,45.984,4.3,97292496,1614000000.0,66.209,0.05434,-0.471,652000000.0,1492000000.0,5922000000.0
WMS,Industrials,"Advanced Drainage Systems, Inc.","4640 Trueman Boulevard, Hilliard, OH",83.68,0.0057,153.36,75.02,103.80305,6874357248.0,,,,0.14928001,13.153,5.54,81233400,426689984.0,136.527,0.47591,0.151,838835008.0,391241000.0,2769315000.0
TPX,Consumer Cyclical,"Tempur Sealy International, Inc.","1000 Tempur Way, Lexington, KY",38.79,0.0113,44.28,20.03,31.30585,6917700608.0,,,,0.0926,-0.13,2.53,172071008,69400000.0,,3.2416,-0.342,797699968.0,981200000.0,4921200000.0
WWE,Communication Services,"World Wrestling Entertainment, Inc.","1241 East Main Street, Stamford, CT",90.6,0.0053,93.63,55.09,75.5293,6843450368.0,,,,0.15144,6.951,2.29,43347100,478716992.0,121.551,0.43858,-0.377,363656992.0,432436000.0,1291523000.0
CFR,Financial Services,"Cullen/Frost Bankers, Inc.","111 West Houston Street, San Antonio, TX",103.71,0.033800002,160.6,95.75,131.81075,6852935680.0,2.19,12.78,15.13,0.34206,46.489,8.82,64374800,12246455296.0,,0.15287,0.889,,48919541000.0,1693101000.0
LFUS,Technology,"Littelfuse, Inc.","8755 West Higgins Road, Chicago, IL",264.79,0.0091,281.78,192.19,240.16554,6815598592.0,,,,0.14850001,89.304,14.57,24798000,562672000.0,47.934,0.18188,0.798,654940032.0,572295000.0,2513897000.0
AXTA,Basic Materials,Axalta Coating Systems Ltd.,"50 Applied Bank Blvd, Glen Mills, PA",29.47,,32.56,20.66,25.8488,6819309056.0,13.7,7.36,4.79,0.03923,6.589,0.86,221052000,647500032.0,253.991,0.12652001,-0.154,756200000.0,1384700000.0,4884400000.0
CW,Industrials,Curtiss-Wright Corporation,"130 Harbour Place Drive, Davidson, NC",174.48,0.0044,182.55,124.37,157.53885,6820803584.0,,,,0.115109995,52.068,7.62,38306700,256974000.0,71.562,0.15416001,0.458,552673984.0,971439000.0,2557025000.0
GWRE,Technology,"Guidewire Software, Inc.","2850 South Delaware Street, San Mateo, CA",79.52,,96.18,52.08,68.41425,6792361984.0,,,,-0.19195,14.842,-2.01,81566704,714732032.0,40.598,-0.12366,,-167892000.0,337518000.0,812614000.0
RBC,Industrials,RBC Bearings Incorporated,"One Tribology Center, Oxford, CT",229.36,,264.94,152.9,226.98865,6754266624.0,,,,0.11113,86.171,4.83,29021900,82036000.0,60.972,0.06617,,424484992.0,313460000.0,942937000.0
INGR,Consumer Defensive,Ingredion Incorporated,"5 Westbrook Corporate Center, Westchester, IL",100.69,0.027999999,105.24,78.81,92.85195,6731403264.0,13.41,10.05,5.24,0.06192,47.904,7.34,65954700,239000000.0,83.292,0.1568,0.721,983000000.0,1882000000.0,7946000000.0
FCN,Industrials,"FTI Consulting, Inc.","555 12th Street NW, Washington, DC",196.43,,201.63,140.09,169.68594,6695158272.0,,,,0.07776,50.439,6.56,33925300,491688000.0,33.816,0.14425999,0.236,360155008.0,769491000.0,3028908000.0
MAT,Consumer Cyclical,"Mattel, Inc.","333 Continental Boulevard, El Segundo, CA",17.84,,26.99,15.36,19.87125,6761569280.0,0.82,9.5,5.67,0.07248,5.802,1.12,355712000,761235008.0,129.962,0.21732001,-0.928,885265024.0,1187748000.0,5434687000.0
OHI,Real Estate,"Omega Healthcare Investors, Inc.","303 International Circle, Hunt Valley, MD",27.15,0.0992,33.71,24.81,29.7195,6723343872.0,7.1,5.18,5.85,0.48611,15.408,1.77,234268000,297103008.0,139.51,0.11094,0.386,719022016.0,626240000.0,878244000.0
TOL,Consumer Cyclical,"Toll Brothers, Inc.","1140 Virginia Drive, Fort Washington, PA",58.74,0.0138,62.61,39.53,49.59855,6706011136.0,9.63,7.82,5.14,0.12919,55.983,11.36,110733000,791609024.0,53.981,0.23025998,0.371,1675810048.0,2564286000.0,10275558000.0
NTRA,Healthcare,"Natera, Inc.","13011 McCallen Pass, Austin, TX",54.26,,59.75,27.35,45.086327,6289638912.0,,,,-0.66787004,6.343,-5.31,113286000,898305984.0,63.227,-0.80614996,,-524537984.0,310499000.0,820222000.0
AMKR,Technology,"Amkor Technology, Inc.","2045 East Innovation Circle, Tempe, AZ",25.88,0.0116,31.38,14.89,22.8708,6416818688.0,,,,0.10799,14.969,3.16,245284000,1241036032.0,40.287,0.22992,-0.249,1510708992.0,1662411000.0,7091585000.0
NVST,Healthcare,Envista Holdings Corporation,"Building E, Brea, CA",39.86,,48.22,31.67,36.73865,6672924160.0,,,,0.09462,25.778,1.38,163232000,606899968.0,36.347,0.057589997,-0.131,502400000.0,1236700000.0,2569100000.0
RCM,Healthcare,R1 RCM Inc.,"434 W. Ascension Way, Murray, UT",14.95,,27.86,6.71,16.675976,6487814656.0,,,,-0.031889997,6.53,-0.16,416662016,110100000.0,70.369,-0.03756,,350800000.0,349800000.0,1806400000.0
ADT,Industrials,ADT Inc.,"1501 Yamato Road, Boca Raton, FL",7.16,0.0196,10.095,6.0,8.08825,6630235136.0,,,,0.026989998,3.783,0.19,862300032,335332992.0,290.527,0.05167,,2425441024.0,2661103000.0,6395310000.0
CR,Industrials,"Crane Holdings, Co.","100 First Stamford Place, Stamford, CT",112.08,0.016900001,123.78,82.14,102.06225,6656082432.0,,,,0.11885,33.757,6.74,56432300,657600000.0,70.41,0.21454,0.401,647200000.0,1488200000.0,3374900000.0
TXG,Healthcare,"10x Genomics, Inc.","6230 Stoneridge Mall Road, Pleasanton, CA",52.05,,83.34,23.81,39.367825,6677895680.0,,,,-0.32145,6.995,-1.46,97139200,429984000.0,11.812,-0.20452,,-142576000.0,130957000.0,516409000.0
BLD,Industrials,TopBuild Corp.,"475 North Williamson Boulevard, Daytona Beach, FL",198.25,,221.38,140.66,178.28015,6673051648.0,,,,0.111,61.32,17.13,31752000,240068992.0,86.906,0.31181,0.905,921798976.0,789639000.0,5008744000.0
GNTX,Consumer Cyclical,Gentex Corporation,"600 North Centennial Street, Zeeland, MI",27.41,0.0176,31.48,23.28,27.46155,6636859392.0,5.87,10.44,6.9,0.16611,8.822,1.35,234178000,237762016.0,0.104,0.15923001,0.058,466574560.0,250552752.0,1918958043.0
ACHC,Healthcare,"Acadia Healthcare Company, Inc.","6100 Tower Circle, Franklin, TN",71.25,,89.85,63.2,79.4444,6597479936.0,,,,0.10463,31.283,3.0,91314600,97649000.0,53.104,0.10213,-0.138,564012992.0,388326000.0,2610399000.0
SEE,Consumer Cyclical,Sealed Air Corporation,"2415 Cascade Pointe Boulevard, Charlotte, NC",44.4,0.018,69.97,41.24,51.51075,6609295360.0,15.83,1.52,3.23,0.08713,2.378,3.33,143962000,456100000.0,1090.41,1.65756,-0.464,1140000000.0,2081800000.0,5641900000.0
BYD,Consumer Cyclical,Boyd Gaming Corporation,"6465 South Rainbow Boulevard, Las Vegas, NV",62.42,0.010299999,68.05,46.1,56.8863,6710735360.0,,,,0.17983,15.471,5.87,101884000,284172000.0,244.974,0.40862998,0.698,1280777984.0,586134000.0,3555377000.0
BRX,Real Estate,Brixmor Property Group Inc.,"450 Lexington Avenue, New York, NY",20.96,0.0496,27.19,17.62,21.66775,6639996416.0,3.75,2.92,4.66,0.29077998,9.553,1.17,300520992,16492000.0,177.152,0.12687,0.298,776902016.0,404752000.0,1218074000.0
NXST,Communication Services,"Nexstar Media Group, Inc.","545 East John Carpenter Freeway, Irving, TX",170.09,0.0317,217.76,151.01,180.62605,6518813184.0,,,,0.18636,74.463,23.53,36769800,204100000.0,261.423,0.33536,-0.144,1990300032.0,893200000.0,5211000000.0
CNXC,Technology,Concentrix Corporation,"39899 Balentine Drive, Newark, CA",120.0,0.0092,168.3,108.57,129.0501,6302610944.0,,,,0.0,52.762,8.16,51195000,,,,,,1132123000.0,6324473000.0
FOUR,Technology,"Shift4 Payments, Inc.","2202 North Irving Street, Allentown, PA",72.91,,76.4,29.39,50.17285,6470750208.0,,,,0.03767,6.088,1.06,54983300,776499968.0,367.312,0.19698,,179100000.0,268300000.0,1993600000.0
LSTR,Industrials,"Landstar System, Inc.","13410 Sutton Park Drive South, Jacksonville, FL",175.16,0.0069,188.47,137.15,160.66585,6457446912.0,,,,0.057919998,24.694,11.75,36022800,393536000.0,22.362,0.49269,-0.13,625592000.0,878135000.0,7439724000.0
NYT,Communication Services,The New York Times Company,"620 Eighth Avenue, New York, NY",37.89,0.0116,47.11,27.59,33.06895,6568193536.0,,,,0.0763,9.681,1.04,163852992,347356992.0,4.315,0.110740006,0.015,328960992.0,571210000.0,2279321000.0
SMAR,Technology,Smartsheet Inc.,"500 108th Ave NE, Bellevue, WA",46.59,,58.22,25.09,36.7554,6334742528.0,,,,-0.28118,3.684,-1.67,132526000,456380992.0,13.751,-0.43543997,,-211336000.0,574663000.0,766915000.0
PRI,Financial Services,"Primerica, Inc.","1 Primerica Parkway, Duluth, GA",168.97,0.0155,195.69,110.22,141.71535,6401902592.0,,,,0.13397999,46.749,9.61,36645600,562344000.0,126.929,0.19309999,3.043,677353024.0,1185566000.0,2784055000.0
PII,Consumer Cyclical,Polaris Inc.,"2100 Highway 55, Medina, MN",108.32,0.024,123.87,91.86,108.656,6304272384.0,0.3,6.3,4.5,0.051760003,19.281,10.04,56985200,330400000.0,196.904,0.51843,1.386,1037299968.0,2328600000.0,8637400000.0
AN,Consumer Cyclical,"AutoNation, Inc.","200 SW 1st Avenue, Fort Lauderdale, FL",131.43,,158.3,94.92,118.3782,6405008384.0,,,,0.05104,42.979,24.3,46899200,72600000.0,313.449,0.62272,-0.024,2203800064.0,3405700000.0,26985000000.0
AIZ,Financial Services,"Assurant, Inc.","260 Interstate North Circle SE, Atlanta, GA",118.65,0.023599999,194.12,104.49,142.4298,6354212352.0,1.63,11.58,11.27,0.027139999,80.043,5.05,52920900,1692199936.0,51.306,0.05707,-0.392,702000000.0,26346100000.0,10193000000.0
APP,Technology,AppLovin Corporation,"1100 Page Mill Road, Palo Alto, CA",15.0,,58.27,9.14,20.20425,6224762368.0,,,,-0.06842,5.089,-0.56,305240992,1087803008.0,176.401,-0.0955,,580571008.0,578958000.0,2817058000.0
RRC,Energy,Range Resources Corporation,"100 Throckmorton Street, Fort Worth, TX",25.15,0.0127,37.44,22.61,27.58735,6369131520.0,25.95,9.72,9.9,0.2218,12.127,4.69,240616992,207000.0,67.119,0.477,-0.06,2092483968.0,1020665000.0,5335309000.0
SF,Financial Services,Stifel Financial Corp.,"One Financial Plaza, Saint Louis, MO",58.32,0.0247,70.26,49.31,60.26685,6304962048.0,,,,0.15194,44.077,5.32,106701000,3670010112.0,44.07,0.12779,-0.325,,29978690000.0,4357933000.0
MHK,Consumer Cyclical,"Mohawk Industries, Inc.","160 South Industrial Boulevard, Calhoun, GA",96.36,,159.0,87.02,108.66055,6405731840.0,5.61,4.19,4.36,0.00215,126.098,0.39,63540300,667622976.0,40.167,0.0031400002,-0.814,1674209024.0,3070285000.0,11737065000.0
LAD,Consumer Cyclical,"Lithia Motors, Inc.","150 North Bartlett Street, Medford, OR",225.77,0.0074,322.17,180.0,241.5611,6291271168.0,,,,0.04438,190.703,44.16,27481200,246700000.0,153.223,0.2545,-0.063,2128800000.0,3178200000.0,28187800000.0
CWEN,Utilities,"Clearway Energy, Inc.","300 Carnegie Center, Princeton, NJ",30.93,0.0471,41.79,28.94,34.2123,6307794432.0,,,,0.48907003,19.111,4.99,82283504,657000000.0,182.668,0.2891,,885000000.0,617000000.0,1190000000.0
EXEL,Healthcare,"Exelixis, Inc.","1851 Harbor Bay Parkway, Alameda, CA",18.83,,23.4,14.87,17.83015,6487636992.0,,,,0.11314,7.681,0.55,324087008,1308467968.0,8.352,0.07758,,222359008.0,324359000.0,1611062000.0
SIVB,Financial Services,SVB Financial Group,"3003 Tasman Drive, Santa Clara, CA",106.04,,578.63,0.01,299.05267,6277663744.0,2.25,11.1,15.02,0.28862,208.849,25.35,59200900,6531999744.0,,0.097799994,-0.257,,187940000000.0,5793000000.0
DOCS,Healthcare,"Doximity, Inc.","500, 3rd Street, San Francisco, CA",31.17,,54.69,22.91,33.64605,6318212608.0,,,,0.2959,4.813,0.53,118704000,800964992.0,1.681,0.1344,-0.385,124954000.0,111282000.0,343548000.0
SITE,Industrials,"SiteOne Landscape Supply, Inc.","300 Colonial Center Parkway, Roswell, GA",133.28,,165.76,97.36,126.86645,6288601600.0,,,,0.06113,29.007,5.36,44977800,37700000.0,56.758,0.20791,,434700000.0,559800000.0,4014500000.0
NYCB,Financial Services,"New York Community Bancorp, Inc.","102 Duffy Avenue, Hicksville, NY",8.97,0.0744,11.02,5.81,9.22885,6269456896.0,3.5,12.15,11.88,0.48112,12.215,1.24,682900992,2265999872.0,,0.08193,0.004,,69444000000.0,1351000000.0
STAG,Real Estate,"STAG Industrial, Inc.","One Federal Street, Boston, MA",33.24,0.0442,42.49,26.56,32.23375,6261603328.0,,,,0.27128,18.883,1.0,179372992,98107000.0,73.272,0.053189997,-0.667,479971008.0,123528000.0,657345000.0
MGY,Energy,Magnolia Oil & Gas Corporation,"Nine Greenway Plaza, Houston, TX",21.56,0.021300001,30.31,18.01,22.9185,6197378560.0,,,,0.52749,8.207,4.63,192020992,675441024.0,22.94,0.7541,0.465,1320183040.0,340273000.0,1694493000.0
RLI,Financial Services,RLI Corp.,"9025 North Lindbergh Drive, Peoria, IL",133.23,0.0078,140.69,100.96,122.2948,6121954304.0,,,,0.34359002,25.893,12.6,45552000,59047000.0,18.207,0.48481998,0.023,726852992.0,1827058000.0,1697992000.0
MDU,Industrials,"MDU Resources Group, Inc.","1200 West Century Avenue, Bismarck, ND",30.36,0.0293,32.53,24.92,29.5471,6206459392.0,21.05,6.63,7.92,0.05269,17.616,1.81,203624000,80517000.0,89.43,0.10539,0.353,908862976.0,1479603000.0,6973864000.0
ADC,Real Estate,Agree Realty Corporation,"70 East Long Lake Road, Bloomfield Hills, MI",67.51,0.0427,80.44,63.34,71.7392,6210646016.0,,,,0.35466,49.494,1.83,90173400,27763000.0,42.406,0.03802,-0.0,380195008.0,70571000.0,429814000.0
MKSI,Technology,"MKS Instruments, Inc.","2 Tech Drive, Andover, MA",87.41,0.0101,145.39,64.77,93.44955,5988664832.0,,,,0.09388,67.312,5.56,66669300,910000000.0,115.28,0.09037,-0.699,878000000.0,952000000.0,3547000000.0
NFE,Utilities,New Fortress Energy Inc.,"111 West 19th Street, New York, NY",28.41,0.1162,63.06,26.14,44.4081,6144101376.0,,,,0.08212,6.178,0.93,208770000,675491968.0,339.322,0.107559994,-0.56,953424000.0,1409238000.0,2368272000.0
AQUA,Industrials,Evoqua Water Technologies Corp.,"210 Sixth Avenue, Pittsburgh, PA",48.73,,51.35,30.44,40.23845,6176168960.0,,,,0.04178,5.986,0.6,122186000,126980000.0,129.861,0.11337,0.41,258484992.0,483716000.0,1737076000.0
COUP,Technology,Coupa Software Incorporated,"1855 South Grant Street, San Mateo, CA",80.97,,111.61,40.295,66.70477,6116578816.0,,,,-0.41245,3.729,-4.5,75541296,860128000.0,725.518,-0.52996,,-144384000.0,566952000.0,725289000.0
THC,Healthcare,Tenet Healthcare Corporation,"14201 Dallas Parkway, Dallas, TX",57.6,,91.83,36.69,53.78915,6077121024.0,,,,0.0212,11.169,3.88,102274000,858000000.0,354.427,0.22561,-0.598,3542000128.0,4476000000.0,19390000000.0
RMBS,Technology,Rambus Inc.,"4453 North First Street, San Jose, CA",50.53,,51.31,20.0,33.15225,5659257344.0,,,,-0.03146,7.242,-0.14,108831000,313225984.0,5.708,-0.01743,1.793,128380000.0,126709000.0,454793000.0
VVV,Energy,Valvoline Inc.,"100 Valvoline Way, Lexington, KY",34.72,0.0146,37.33,24.4,31.2766,6007443456.0,,,,0.32709,1.667,0.57,171936000,25000000.0,731.11,0.44794998,-0.043,250700000.0,919400000.0,1236100000.0
CHH,Consumer Cyclical,"Choice Hotels International, Inc.","1 Choice Hotels Circle, Rockville, MD",115.2425,0.01,150.41,104.15,117.8217,6028851200.0,,,,0.23692,2.986,6.05,51445100,41566000.0,830.971,1.57964,-0.091,538326976.0,435898000.0,1401949000.0
X,Basic Materials,United States Steel Corporation,"600 Grant Street, Pittsburgh, PA",26.12,0.0077,38.61,16.41,23.7814,6010386432.0,15.74,9.67,6.0,0.119820006,44.738,9.04,227196000,3504000000.0,40.064,0.26002002,-0.82,4147000064.0,3959000000.0,21065000000.0
NTNX,Technology,"Nutanix, Inc.","1740 Technology Drive, San Jose, CA",25.26,,33.734,13.44,23.6342,6089015296.0,,,,-0.29146,-3.438,-2.08,230111008,1388057984.0,,,,-317375008.0,1150224000.0,1580796000.0
IPGP,Technology,IPG Photonics Corporation,"50 Old Webster Road, Oxford, MA",121.27,,134.81,79.88,99.7073,6043484672.0,3.62,2.82,5.05,0.07688,49.552,2.16,47627100,1177582976.0,1.595,0.04316,,321967008.0,274646000.0,1429547000.0
TKR,Industrials,The Timken Company,"4500 Mount Pleasant Street NW, North Canton, OH",80.12,0.0155,89.4,50.85,69.9372,6038511616.0,,,,0.09060001,31.253,5.39,72618600,370800000.0,87.233,0.17629999,0.617,822600000.0,1012400000.0,4496700000.0
PR,Energy,Permian Resources Corporation,"300 N. Marienfeld Street, Midland, TX",10.29,0.0194,12.05,5.08,8.77265,5840236544.0,,,,0.24166,10.107,1.62,306968000,59545000.0,39.105,0.17838,-0.519,1492459008.0,605569000.0,2131265000.0
WWD,Industrials,"Woodward, Inc.","1081 Woodward Way, Fort Collins, CO",98.43,0.009,125.29,79.26,95.54045,5946931200.0,,,,0.069520004,32.663,2.67,59728500,99335000.0,44.36,0.082150005,0.043,323903008.0,539113000.0,2382790000.0
CRUS,Technology,"Cirrus Logic, Inc.","800 West 6th Street, Austin, TX",109.56,,111.15,61.94,81.936,6044032512.0,,,,0.16219999,31.086,5.71,55257200,462916992.0,9.164,0.19931999,-0.153,489000992.0,264783000.0,1781460000.0
QDEL,Healthcare,QuidelOrtho Corporation,"9975 Summers Ridge Road, San Diego, CA",88.08,,120.61,66.88,87.74325,5992246784.0,,,,0.168,74.316,9.58,66505500,360900000.0,57.78,0.15988,-0.933,1274700032.0,1007000000.0,3266000000.0
NCLH,Consumer Cyclical,Norwegian Cruise Line Holdings Ltd.,"7665 Corporate Center Drive, Miami, FL",13.27,,23.43,10.31,14.2447,5998592512.0,11.98,10.12,4.12,-0.46862,0.163,-5.52,421929984,946987008.0,20774.275,-1.8150301,,-742081984.0,5054851000.0,4843760000.0
GXO,Industrials,"GXO Logistics, Inc.","Two American Lane, Greenwich, CT",49.55,,69.52,32.1,44.6664,5993436672.0,,,,0.02191,22.278,1.74,118776000,495000000.0,157.543,0.07893,-0.207,697000000.0,2532000000.0,8993000000.0
SAIC,Technology,Science Applications International Corporation,"12010 Sunset Hills Road, Reston, VA",106.68,0.0139,117.94,79.33,100.64665,5934456832.0,,,,0.03578,30.655,4.75,54629300,53000000.0,149.057,0.16282,0.189,653000000.0,1352000000.0,7394000000.0
SON,Consumer Cyclical,Sonoco Products Company,"1 North Second Street, Hartsville, SC",59.85,0.0328,67.06,51.52,60.01435,6005870592.0,12.05,2.09,3.43,0.064330004,21.156,4.69,97945904,227438000.0,170.085,0.23811,0.486,1091671040.0,1743901000.0,7250552000.0
BEPC,Utilities,Brookfield Renewable Corporation,"250 Vesey Street, New York, NY",34.03,0.0397,43.81,27.19,33.3525,6019403264.0,,,,0.38827,16.232,8.87,172228992,642000000.0,83.684,0.119169995,6.33,2528000000.0,7251000000.0,3871000000.0
OGN,Healthcare,Organon & Co.,"30 Hudson Street, Jersey City, NJ",23.09,0.048499998,39.09,20.96,27.9166,6094502400.0,,,,0.14852999,-3.507,3.66,254383008,706000000.0,,,-0.469,1928000000.0,2512000000.0,6174000000.0
HLI,Financial Services,"Houlihan Lokey, Inc.","10250 Constellation Boulevard, Los Angeles, CA",86.3,0.024,102.36,74.18,87.7746,5928575488.0,,,,0.14149,22.451,3.82,50608000,549422016.0,18.436,0.16921,-0.646,,1204506000.0,2269602000.0
AYI,Industrials,"Acuity Brands, Inc.","1170 Peachtree Street, N.E., Atlanta, GA",179.17,0.0029,202.9,142.71,175.8166,5973132800.0,6.76,8.73,5.09,0.09105,59.951,10.91,32051500,284100000.0,30.176,0.18675,-0.069,606200000.0,733600000.0,4006100000.0
DXC,Technology,DXC Technology Company,"20408 Bashan Drive, Ashburn, VA",25.06,,36.0,22.46,27.7109,5931836928.0,1.26,9.69,5.13,0.04836,20.287,2.88,227682000,2091000064.0,115.791,0.14563,-0.342,2696000000.0,6853000000.0,16265000000.0
